FPS: 15 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 15 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 18 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 17 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 18 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 6 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 2 [CPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 7 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: Comic | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 30 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 32 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
FPS: 28 [GPU] | Filter: None | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: -0.00078125,0.00138889
