FPS: 19 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 32 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 31 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 30 [CPU] | Filter: Pixelate | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 27 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 27 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 27 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 24 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
FPS: 27 [CPU] | Filter: SinCity | Block: 12 | rot(deg): 0 | scale: 1 | tx,ty: 0,0
